,Beta,Expected Return,Idiosyncratic Variance
AAPL,1.215624624578981,-0.0035812644128649096,0.00014558120136466188
AMZN,1.065800925504593,-0.0006749130674318787,0.0002870943854002792
DIS,1.0512463984291325,-0.0003925774315529096,0.00024620172163516757
GOOGL,1.1356384741142784,-0.002029655038278077,0.00016870677228389059
JPM,1.0986425472162407,-0.0013119904593100404,0.00018582435128260678
MSFT,1.18213525108014,-0.002931621623857676,0.0001166901305009066
NVDA,1.72883906795416,-0.013536842183365299,0.0005238382882721818
PG,0.5847972633018628,0.008655824655890694,0.00011590043865810632
TSLA,1.5032615747505658,-0.009160982723733578,0.0012524124351173467
V,1.0488059164925272,-0.00034523580266657486,0.00011344792906677184
