,0.08,0.12,0.15
AAPL,-0.004949612065304199,-0.17798250176462113,-0.6568033901420197
AMZN,-0.006173624745640871,-0.17798250305490698,-0.6568033901676905
DIS,-0.006202086426128295,-0.1779825030344889,-0.6568033901677566
GOOGL,-0.00583911259104275,-0.17798250279907973,-0.6568033901603003
JPM,-0.006060606790277312,-0.1779825030305039,-0.6568033901659821
MSFT,-0.00539526547435798,-0.17798250225523762,-0.6568033901508461
NVDA,0.0013038875662220728,-0.17798009789375527,-0.6568032490051706
PG,2.2519964347380146,5.667213474606431,3.382288622345205
TSLA,0.0009919794029442375,-0.17798248524488078,-0.6568033895036057
V,-0.0062059490511973125,-0.17798250303298818,-0.6568033901677464
