,0.08,0.12,0.15
AAPL,-0.637766171763188,-0.995337256052661,-0.19901610433345032
AMZN,-0.6377662152891965,-0.9953373520845589,-0.19901612787669776
DIS,-0.6377662163011113,-0.995337353769962,-0.19901612792988613
GOOGL,-0.6377662033949896,-0.9953373263246982,-0.19901612722906076
JPM,-0.6377662112706987,-0.9953373440171441,-0.19901612750912598
MSFT,-0.6377661876111739,-0.9953372905369103,-0.19901612278066622
NVDA,-0.6377659493153257,-0.9953370244109524,-0.19901225241703877
PG,6.73984100527831,9.957904406471274,7.472207590081201
TSLA,-0.6377659604307708,-0.9953369117836951,-0.1990159864075133
V,-0.6377662164384497,-0.9953373539770117,-0.19901612793361567
